STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,COMMODITY,Commodity,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION_ID,Version ID,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,AUS,Australia,A,Annual,CPC_EX_PT,Poultry meat,FO,Food,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,1453.1728,,A,Normal value,3,Thousands,2,Two,RTOC,Ready to cook
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,AUS,Australia,A,Annual,CPC_EX_PT,Poultry meat,FO,Food,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,1470.411,,A,Normal value,3,Thousands,2,Two,RTOC,Ready to cook
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,AUS,Australia,A,Annual,CPC_2226,Casein,QP_ET,Ethanol production from commodity,L,Litres,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,6,Millions,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,AUS,Australia,A,Annual,CPC_2226,Casein,QP_ET,Ethanol production from commodity,L,Litres,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,6,Millions,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,BRA,Brazil,A,Annual,CPC_2225,"Cheese, fresh or processed",OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,BRA,Brazil,A,Annual,CPC_2225,"Cheese, fresh or processed",OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,BRA,Brazil,A,Annual,CPC_EX_PT,Poultry meat,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,RTOC,Ready to cook
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,BRA,Brazil,A,Annual,CPC_EX_PT,Poultry meat,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,RTOC,Ready to cook
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CAN,Canada,A,Annual,CPC_EX_PK,Pigmeat,ST,Ending stocks,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,19.0698,,A,Normal value,3,Thousands,2,Two,CWE,Carcass weight equivalent
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CAN,Canada,A,Annual,CPC_EX_PK,Pigmeat,ST,Ending stocks,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,19.9422,,A,Normal value,3,Thousands,2,Two,CWE,Carcass weight equivalent
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CAN,Canada,A,Annual,CPC_01802,Sugar cane,FE,Feed,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CAN,Canada,A,Annual,CPC_01802,Sugar cane,FE,Feed,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CAN,Canada,A,Annual,CPC_2226,Casein,ST,Ending stocks,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CAN,Canada,A,Annual,CPC_2226,Casein,ST,Ending stocks,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHE,Switzerland,A,Annual,CPC_2351,Raw cane or beet sugar,QC,Consumption,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,TQB,Tel quel basis (sugar)
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHE,Switzerland,A,Annual,CPC_2351,Raw cane or beet sugar,QC,Consumption,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,TQB,Tel quel basis (sugar)
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHE,Switzerland,A,Annual,CPC_216,Vegetable oils,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHE,Switzerland,A,Annual,CPC_216,Vegetable oils,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0144,Other oilseeds,FO,Food,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,5291.2123,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0144,Other oilseeds,FO,Food,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,5307.588,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,7050.2783,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_0151T0155,Roots and tubers,AH,Area harvested,HA,Hectares,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,7021.3225,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_EX_SH,Sheepmeat,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,CWE,Carcass weight equivalent
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,CHN,China (People’s Republic of),A,Annual,CPC_EX_SH,Sheepmeat,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,CWE,Carcass weight equivalent
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,EU,European Union,A,Annual,CPC_21920,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",FO,Food,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,EU,European Union,A,Annual,CPC_21920,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",FO,Food,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,JPN,Japan,A,Annual,CPC_2224,Butter and other fats and oils derived from milk,EX,Exports,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,JPN,Japan,A,Annual,CPC_2224,Butter and other fats and oils derived from milk,EX,Exports,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,JPN,Japan,A,Annual,CPC_0144,Other oilseeds,FO,Food,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,139.0002,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,JPN,Japan,A,Annual,CPC_0144,Other oilseeds,FO,Food,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,138.9903,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,JPN,Japan,A,Annual,CPC_EX_SH,Sheepmeat,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,CWE,Carcass weight equivalent
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,JPN,Japan,A,Annual,CPC_EX_SH,Sheepmeat,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,CWE,Carcass weight equivalent
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,KOR,Korea,A,Annual,CPC_2352,Refined sugar,ST,Ending stocks,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,TQB,Tel quel basis (sugar)
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,KOR,Korea,A,Annual,CPC_2352,Refined sugar,ST,Ending stocks,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,TQB,Tel quel basis (sugar)
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,MEX,Mexico,A,Annual,CPC_EX_BV,Beef and veal,QP_BD,Biodiesel production from commodity,L,Litres,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,6,Millions,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,MEX,Mexico,A,Annual,CPC_EX_BV,Beef and veal,QP_BD,Biodiesel production from commodity,L,Litres,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,6,Millions,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NOR,Norway,A,Annual,CPC_0143,Cottonseed,QP_ET,Ethanol production from commodity,L,Litres,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,6,Millions,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NOR,Norway,A,Annual,CPC_0143,Cottonseed,QP_ET,Ethanol production from commodity,L,Litres,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,6,Millions,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NOR,Norway,A,Annual,CPC_01802,Sugar cane,PP,Producer price,XDC_T,National currency per tonne,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NOR,Norway,A,Annual,CPC_01802,Sugar cane,PP,Producer price,XDC_T,National currency per tonne,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NOR,Norway,A,Annual,CPC_01802,Sugar cane,FO_DFS_PROT,Food protein availability,G_PS_D,Grammes per person per day,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NOR,Norway,A,Annual,CPC_01802,Sugar cane,FO_DFS_PROT,Food protein availability,G_PS_D,Grammes per person per day,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_EX_AC,Fish from aquaculture,FE,Feed,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_EX_AC,Fish from aquaculture,FE,Feed,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_022,Raw milk,QP_BD,Biodiesel production from commodity,L,Litres,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,6,Millions,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_022,Raw milk,QP_BD,Biodiesel production from commodity,L,Litres,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,6,Millions,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_EX_222121,Skim milk powder,FE,Feed,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_EX_222121,Skim milk powder,FE,Feed,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_235,Sugar and molasses,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_235,Sugar and molasses,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_216,Vegetable oils,PP,Producer price,XDC_T,National currency per tonne,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_216,Vegetable oils,PP,Producer price,XDC_T,National currency per tonne,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_04,Fish and other fishing products,FO_DFS_FAT,Food fat availability,G_PS_D,Grammes per person per day,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,1.6884,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_04,Fish and other fishing products,FO_DFS_FAT,Food fat availability,G_PS_D,Grammes per person per day,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,1.6926,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,RUS,Russia,A,Annual,CPC_EX_PT,Poultry meat,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,RTOC,Ready to cook
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,RUS,Russia,A,Annual,CPC_EX_PT,Poultry meat,OU,Other use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,RTOC,Ready to cook
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,USA,United States,A,Annual,CPC_23210,Glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syrup; invert sugar; sugars and sugar syrups n.e.c.; artificial honey; caramel,FO_PC,Human consumption,KG_PS,Kilogrammes per person,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,15.1362,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,USA,United States,A,Annual,CPC_23210,Glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syrup; invert sugar; sugars and sugar syrups n.e.c.; artificial honey; caramel,FO_PC,Human consumption,KG_PS,Kilogrammes per person,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,14.8294,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,USA,United States,A,Annual,CPC_21920,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",BF,Biofuel use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,USA,United States,A,Annual,CPC_21920,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",BF,Biofuel use,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,USA,United States,A,Annual,CPC_216,Vegetable oils,FO_DFS_PROT,Food protein availability,G_PS_D,Grammes per person per day,AO_2021_2030,Agricultural Outlook 2021-2030,2029,,0.2011,,A,Normal value,0,Units,2,Two,,
